资源名称,P2P下载地址
Access 2.0 (English),ed2k://|file|en_access_2.0.exe|25743763|A0DC0E82A78A3E22991561D1874CEB26|/
Windows XP Pro N Multilingual User Interface Pack CD 5,ed2k://|file|mui_win_xp_pro_n_cd5.iso|165584896|0137EC366858C1383DD14FDFD8D32211|/
"Windows Vista with Service Pack 2 Language Pack (x86) - DVD (English, French, German, Spanish)",ed2k://|file|en_fr_de_es_windows_vista_sp2_language_pack_x86_dvd_342424.iso|919068672|4CE0474DDBAB1C86819F12C53C70BC8B|/
Windows Thin PC (x86) - DVD (English),ed2k://|file|en_windows_thin_pc_x86_697681.iso|1576980480|2D0E6A048EB3F314F556B4F0834A95E2|/
Windows Technical Preview for Enterprise 9879 (x86) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_technical_preview_for_enterprise_9879_x86_dvd_5928639.iso|3229497344|FB5162F860013EB3D9F7B232655E917C|/
"Windows Storage Server 2008 R2 Embedded (Standard, Enterprise, Workgroup) with iSCSI Software Target 3.3 (x64) - DVD (Multiple Languages)",ed2k://|file|mu_windows_storage_server_2008_r2_embed_stand_ent_work_iscsi_software_target_3.3 _x64_dvd_587719.iso|992907264|61BF7398D44D7524E154261874CD81EC|/
Windows Vista with Service Pack 2 Global Language Pack (x86) - DVD (Russian),ed2k://|file|ru_windows_vista_with_sp2_global_language_pack_x86_dvd_x15-40527.iso|169326592|B183D4B7B2D1B36C2B1AF76C5CE7C412|/
"Windows Storage Server 2008 Embedded Language Pack (x86) - DVD (English, French, German, Japanese, Spanish)",ed2k://|file|en_fr_de_ja_es_windows_storage_server_2008_embedded_language_pack_dvd_x86_x14-18619.iso|340930560|ECE4AA53A49A323B2185F2BB7D46820C|/
Disc 1: Windows Small Business Server 2008 Standard and Premium Installation (x64) - DVD (English),ed2k://|file|en_disc_1_windows_small_business_server_2008_standard_and_premium_installation_x64_dvd_x14-76617.iso|4098934784|D123C52F23841D15E9EDCA763491D43C|/
Windows Services for UNIX 3.5 (English),ed2k://|file|en_windows_services_unix_3.5.iso|486547456|9DDC3890A96019DB57CFA0F653E353C4|/
Disc 2: Component Technologies for Server Repair (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_disc_2_component_technologies_for_server_repair_x64_x14-76591.iso|2184601600|6A9DF8733401F16DB2B95C02CE5BD8C2|/
Server Install Disc: Windows Small Business Server 2011 Essentials (x64) - DVD (English),ed2k://|file|en_server_install_disc_windows_small_business_server_2011_essentials_x64_dvd_664391.iso|4268191744|18289211AEE30FE8187753515C2C483B|/
Server Install Disc: Windows Small Business Server 2011 Essentials (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_server_install_disc_windows_small_business_server_2011_essentials_x64_dvd_664374.iso|4492560384|009792448DEA47216C093DA50AD73A40|/
Windows Storage Server 2008 Embedded Language Pack (x86) - DVD (Chinese - Taiwan),ed2k://|file|tw_windows_storage_server_2008_embedded_language_pack_dvd_x86_x14-21035.iso|65771520|C2E892C193736F55DF68E8266EF93F45|/
Windows Storage Server 2008 Embedded Tools (x86 and x64) - CD (English),ed2k://|file|en_windows_storage_server_2008_embedded_tools_cd_x64_x86_x15-62577.iso|6180864|358B99626EE909863B7497851DFF69C6|/
Windows Vista with Service Pack 2 Global Language Pack (x86) - DVD (Korean),ed2k://|file|ko_windows_vista_with_sp2_global_language_pack_x86_dvd_x15-40505.iso|166445056|B6FA1D69342CAEA05F0209380870C17C|/
Windows Vista with Service Pack 2 Language Pack (x86) - DVD (Japanese),ed2k://|file|ja_windows_vista_sp2_language_pack_x86_dvd_342429.iso|228499456|B6E3656515964BCD4FA8FA89599B095A|/
"Windows Server, version 1909 (updated Jan 2020) (x64) - DVD (Chinese-Simplified)",ed2k://|file|cn_windows_server_version_1909_updated_jan_2020_x64_dvd_cd782fbe.iso|3717591040|E2D65C84F4B3ECF04FAC470F522C278D|/
Windows Vista with Service Pack 2 Global Language Pack (x86) - DVD (Chinese-Taiwan),ed2k://|file|tw_windows_vista_with_sp2_global_language_pack_x86_dvd_x15-40533.iso|213819392|FFF881BC9EEA33D11072A8E3BC41D622|/
Windows Vista with Service Pack 2 (x86) - DVD (Chinese-Hong Kong SAR),ed2k://|file|hk_windows_vista_with_sp2_x86_dvd_x15-36287.iso|3035189248|5A86B4FF0D0AE136C81A4BB54E65345A|/
Windows Vista with Service Pack 2 (x86) - DVD (English),ed2k://|file|en_windows_vista_with_sp2_x86_dvd_342266.iso|3243413504|3F8BA2A08B9AF5E49B361294348E90FA|/
Windows Vista with Service Pack 2 (x86) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_vista_with_sp2_x86_dvd_x15-36285.iso|3078893568|F50709974F03C63BB41B5CA0D406160D|/
Windows XP Service Pack 3 (x86) - CD (Turkish),ed2k://|file|tr_windows_xp_service_pack_3_x86_cd_x14-61487.iso|383801344|62CFAE2FEB8F269563B526F179605C78|/
Windows XP Service Pack 3 (x86) - CD (Swedish),ed2k://|file|sv_windows_xp_service_pack_3_x86_cd_x14-61486.iso|386682880|0C55573E64C0840776A64C03BCE5FC00|/
Windows XP Service Pack 3 (x86) - CD (Polish),ed2k://|file|pl_windows_xp_service_pack_3_x86_cd_x14-61474.iso|388964352|E30A7B01D52F9A7E6AD4855D13983C6D|/
Windows XP Service Pack 3 (x86) - CD (Norwegian),ed2k://|file|no_windows_xp_service_pack_3_x86_cd_x14-61473.iso|386228224|146C3DF4E6E2F605D7884BAB7C0B8897|/
Windows XP Service Pack 3 (x86) - CD (Hungarian),ed2k://|file|hu_windows_xp_service_pack_3_x86_cd_x14-61462.iso|388509696|1D3613EBCCE2B7EF46A2159F215F6203|/
Windows XP Service Pack 3 (x86) - CD (Hebrew),ed2k://|file|he_windows_xp_service_pack_3_x86_cd_x14-61461.iso|381878272|178E7DBA2546303834D16C715E4D360D|/
Windows XP Service Pack 3 (x86) - CD (Greek),ed2k://|file|el_windows_xp_service_pack_3_x86_cd_x14-61451.iso|390377472|4577C7B1DA668B71EFA0BF7A23D3FA91|/
Windows XP Service Pack 3 (x86) - CD (Finnish),ed2k://|file|fi_windows_xp_service_pack_3_x86_cd_x14-61429|387594240|C509C5A48A0409A3FCB0B2880A6A9032|/
Windows XP Service Pack 3 (x86) - CD (Dutch),ed2k://|file|nl_windows_xp_service_pack_3_x86_cd_x14-61428.iso|386938880|92347D4F3CFFDAA93CCC615F9F672564|/
Windows XP Service Pack 3 (x86) - CD (Danish),ed2k://|file|da_windows_xp_service_pack_3_x86_cd_x14-61418.iso|386869248|F742C19F4534C65F2A766E558F4A1D76|/
Windows XP Service Pack 3 (x86) - CD (Czech),ed2k://|file|cs_windows_xp_service_pack_3_x86_cd_x14-61417.iso|388739072|848455E6D7132022F0825DE81726C141|/
Windows XP Service Pack 3 (x86) - CD (Arabic),ed2k://|file|ar_windows_xp_service_pack_3_x86_cd_x14-61410.iso|382713856|F6D43D39A80A7615CBF7C0A39A03D8DF|/
Windows XP Service Pack 3 (x86) - CD (Spanish),ed2k://|file|es_windows_xp_service_pack_3_x86_cd_x14-61495.iso|389662720|E1BBBCBC384EF7F353ECE9D4C8417A3D|/
Windows XP Service Pack 3 (x86) - CD (Russian),ed2k://|file|ru_windows_xp_service_pack_3_x86_cd_x14-61485.iso|384874496|654D73726FA62919133FDFB85BFC3BCA|/
Windows XP Service Pack 3 (x86) - CD (Portuguese-Portugal),ed2k://|file|pt-pt_windows_xp_service_pack_3_x86_cd_x14-61475.iso|387723264|6F729EBF7FAE619C4F314433FCC7C0FF|/
Windows XP Service Pack 3 (x86) - CD (Portuguese-Brazil),ed2k://|file|pt-br_windows_xp_service_pack_3_x86_cd_x14-60493.iso|383156224|F811E6459EE7B81345398E46435BE839|/
Windows XP Service Pack 3 (x86) - CD (Korean),ed2k://|file|ko_windows_xp_service_pack_3_x86_cd_x14-60565.iso|396662784|F28CC94043659241B95CF81E4B23300F|/
Windows XP Service Pack 3 (x86) - CD (Japanese),ed2k://|file|ja_windows_xp_service_pack_3_x86_cd_x14-62552.iso|407521280|54C5B1B2EB2342E35CE239CC3193D01C|/
Windows XP Service Pack 3 (x86) - CD (Italian),ed2k://|file|it_windows_xp_service_pack_3_x86_cd_x14-61463.iso|389490688|C15861085B7D6CEE5C7825C957DD7839|/
Windows XP Service Pack 3 (x86) - CD (German),ed2k://|file|de_windows_xp_service_pack_3_x86_cd_x14-61430.iso|394506240|B096762F46D0ECC6CF656683F84FFA01|/
Windows XP Service Pack 3 (x86) - CD (French),ed2k://|file|fr_windows_xp_service_pack_3_x86_cd_x14-61494.iso|390365184|D8E2F86C256B746CB115CA2954CAA613|/
Windows XP Tablet PC Edition CD1 (Traditional Chinese) - VL,ed2k://|file|cht_winxp_tablet_vl_cd1.iso|632983552|F7DC0EB99B1A9E3ED262297655C534D3|/
Windows XP Service Pack 3 (x86) - CD (Chinese-Taiwan),ed2k://|file|zh-tw_windows_xp_service_pack_3_x86_cd_x14-60564.iso|402804736|2944EBC5C58CBE66DFE87595F51C8732|/
Windows XP Service Pack 3 (x86) - CD (Chinese-Hong Kong SAR),ed2k://|file|zh-hk_windows_xp_service_pack_3_x86_cd_x14-60562.iso|402798592|C91DA7CFE3C1585AA4B10E6B079F35B0|/
Windows XP Tablet PC Edition CD2 (English) - VL,ed2k://|file|EN_WinXP_Tablet_VL_CD2.iso|160040960|FC38F0381773212A3E6424CEE41BFF82|/
Windows XP Tablet PC Edition 2005 (Simplified Chinese) - CD2,ed2k://|file|sc_winxp_tablet_2005_CD2.iso|233066496|F691BBA9A376B281CDE19FD2E6EF36F9|/
Windows for Workgroups 3.11 (English),ed2k://|file|EN_WFW311.exe|10875616|84758F43D5D8562027BEEECBC0BBC6F0|/
"Windows Server, version 1909 (x64) - DVD (Chinese-Simplified)",ed2k://|file|cn_windows_server_version_1909_x64_dvd_e009841b.iso|3672758272|B8F46D309F267F03B266EFB17E89779F|/
"Windows Server, version 1709 (Updated Jan 2018) (x64) - DVD (Chinese-Simplified)",ed2k://|file|cn_windows_server_version_1709_updated_jan_2018_x64_dvd_100498132.iso|3422365696|BE37A87AC47486D0FC7160B2A1525106|/
"Windows Server, version 1803 Language Pack (x64) - DVD (Multiple Languages)",ed2k://|file|mu_windows_server_version_1803_language_pack_x64_dvd_12063797.iso|3060492288|2F950E4C3F1029EBEE9237AED039669B|/
"Windows Server, version 1709 Language Pack (x64) - DVD (Multiple Languages)",ed2k://|file|mu_windows_server_version_1709_language_pack_x64_dvd_100090895.iso|3048288256|18EF20B6DF5F948074BA4B406A64D256|/
Windows Server Technical Preview (x64) - DVD (English),ed2k://|file|en_windows_server_technical_preview_x64_dvd_5554304.iso|4414445568|96CB10D7921BA777F53247BC3750FBE2|/
Windows Server Developer Preview with Hyper-V Virtual Machine (x64) - (English),ed2k://|file|en_windows_server_developer_preview_with_hyper-v_virtual_machine_x64_735222.exe|2225172556|51A3F8FF10D3F591861268C4A992DAB3|/
"Windows Server ""8"" Beta (x64) - DVD (Chinese-Simplified)",ed2k://|file|cn_windows_server_8_beta_x64_dvd_811341.iso|3727964160|108E6447E01A6F1EFA4B0EB9493F0A0E|/
Windows Server 2016 Technical Preview 5 (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_server_2016_technical_preview_5_x64_dvd_8509035.iso|5417973760|F0DD7DF658390ECB26F4DAC347C56E8A|/
"Windows Server, version 1709 (x64) - DVD (English)",ed2k://|file|en_windows_server_version_1709_x64_dvd_100090904.iso|2995189760|58591930E592612B0A5CBD45BEE5E102|/
Windows Server 2019 (updated March 2019) (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_server_2019_updated_march_2019_x64_dvd_c1ffb46c.iso|5347280896|49FCF8C558517608537E0396854560D6|/
Windows Server 2019 (updated Jan 2020) (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_server_2019_updated_jan_2020_x64_dvd_4bbe2c37.iso|5608552448|39C663ABF26079240030395C7CB3F975|/
"Windows Server, version 1709 (x64) - DVD (Chinese-Simplified)",ed2k://|file|cn_windows_server_version_1709_x64_dvd_100090901.iso|3217631232|1BD4F4D184FEFF7B1632122FC0DAC2E4|/
Windows Server 2019 Language Pack (x64) - DVD (Multiple Languages),ed2k://|file|mu_windows_server_2019_language_pack_x64_dvd_679192ff.iso|2831929344|E76103FC6FDC26D5CD2370A818A7BDC5|/
Windows Server 2016 VL (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_server_2016_vl_x64_dvd_11636695.iso|6302720000|44742A3D464B9765203E2A4DB73FF704|/
Windows Server 2016 Language Pack (x64) - DVD (Multiple Languages),ed2k://|file|mu_windows_server_2016_language_pack_x64_dvd_9327828.iso|2751272960|DF97A8F2F27EDA7BAF9DF895D1A43FCA|/
Windows Storage Server 2016 (x64) - DVD (English),ed2k://|file|en_windows_storage_server_2016_x64_dvd_9327790.iso|4574750720|E4893F2CD7CEC08341CC68003AC9F2F9|/
Windows Storage Server 2016 (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_storage_server_2016_x64_dvd_9327778.iso|4808439808|4E70FB4EFEF1F0D93C8600BE6CF62D82|/
Windows Server 2012 R2 Language Pack with Update (x64) - DVD (Multiple Languages),ed2k://|file|mu_windows_server_2012_r2_language_pack_with_update_x64_dvd_6066969.iso|3918141440|102DE2D2EDEECB48EC50390592C854A4|/
Windows Server 2012 R2 with Update (x64) - DVD (English),ed2k://|file|en_windows_server_2012_r2_with_update_x64_dvd_4065220.iso|4543252480|0743F9668D8D0C2CE83F381555A86C13|/
Windows Storage Server 2012 R2 and Windows Server 2012 R2 Foundation with Update (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_storage_server_2012_r2_windows_server_2012_r2_foundation_with_update_x64_dvd_6052783.iso|5335404544|5EE0BA12E752A724DCD7BF6A8E8E4241|/
Windows Server 2019 (x64) - DVD (English),ed2k://|file|en_windows_server_2019_x64_dvd_4cb967d8.iso|4843268096|91EF33D18517C2711517A84F14463072|/
Windows Server 2019 Essentials (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_server_2019_essentials_x64_dvd_5b386b0b.iso|4836911104|CBA4E3F0C66107AD6B64E4DA077D004F|/
"Windows Server, version 1803 (x64) - DVD (Chinese-Simplified)",ed2k://|file|cn_windows_server_version_1803_x64_dvd_12063487.iso|3255996416|477BB70C0A194E99C7279830DBA0F143|/
Windows Server 2012 R2 Datacenter Preview (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_server_2012_r2_datacenter_preview_x64_dvd_2358525.iso|4239566848|F2E4A8A6DDC8F225F04333F7E0F6110D|/
Windows Server 2012 R2 Essentials Preview (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_server_2012_r2_essentials_preview_x64_dvd_2358568.iso|4052500480|C4DC42B9166195EE8F7E693B7A12FE3A|/
Windows Server 2012 R2 Essentials with Update (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_server_2012_r2_essentials_with_update_x64_dvd_6052796.iso|5201313792|C6E9486A9364E9A918830940EF5A1946|/
Windows Server 2012 R2 Language Pack (x64) - DVD (Multiple Languages),ed2k://|file|mu_windows_server_2012_r2_language_pack_x64_dvd_2710896.iso|1637578752|752D3DEBFB442910FF74D1731614F25E|/
Windows Server 2012 R2 (x64) - DVD (Russian),ed2k://|file|ru_windows_server_2012_r2_x64_dvd_2708010.iso|4324317184|045773282CDB75DFFDE45A653DF96D1D|/
Server Install Disc: Windows Server 2012 Essentials (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_server_install_disc_windows_server_2012_essentials_x64_dvd_1022276.iso|4429121536|423CDC84FA0629995968D3135B249533|/
Windows Server 2012 Language Pack (x64) - DVD (Multiple Languages),ed2k://|file|mu_windows_server_2012_language_pack_x64_dvd_917551.iso|1808019456|FCFA5E74E3FE24BF83152B8C92A0F4C1|/
Windows Server 2008 R2 Service Pack 1 Language Pack (x64) - DVD (Multilanguage),ed2k://|file|mu_windows_server_2008_r2_sp1_language_pack_x64_dvd_619614.iso|2935293952|20DD0ED551338EE2208AC2BCA8469497|/
"Windows Server 2008 with Service Pack 2 Language Pack (x86) - DVD (English, French, German, Spanish)",ed2k://|file|en_fr_de_es_windows_server_2008_sp2_language_pack_x86_dvd_342426.iso|373798912|ABF69B56A2AEAB5F5C7CF3F974D876BA|/
"Windows Server 2003 R2 x64 Edition Multilingual User Interface Pack Disc 3 (Korean, Simplified Chinese, Traditional Chinese)",ed2k://|file|MUI_Windows_server_2003_r2_x64_cd3.iso|615575552|BDEC149BC7B9D939FEA89C89692D8BAC|/
"Windows Server 2003 Multilingual User Interface - CD4 (Multi-Language--Finnish, Hebrew, Arabic, Danish, Greek, Norwegian)",ed2k://|file|MUI_Windows_server_2003_cd4.iso|84387840|1268B6EB9EF107B00AEAE5024C1FFC7A|/
Windows NT Server 4.0 (English),ed2k://|file|en_winnt_4.0_svr.iso|640942080|81E24B4010C0AF74B11FBFB5584CCD1F|/
Windows? Millennium Edition (English) Full CD Version,ed2k://|file|EN_WINME_FULL.exe|381268248|FD2A6EF8C1AC477F53B450C31241E7D6|/
Windows Internet Explorer 8 for Windows XP (x86) - (Chinese-Simplified),ed2k://|file|cn_windows_internet_explorer_8_for_windows_xp_x86.exe|16901472|22A386A900AD11E034839A18F40D2709|/
Windows? Millennium Edition (Simplified Chinese),ed2k://|file|SC_WINME.exe|174098008|EEBAABADCD0162DA9F66F68E91B1B92A|/
Windows NT Server 4.0 (Simplified Chinese),ed2k://|file|sc_winnt_4.0_svr.iso|676548608|3BCB905EB3A6ED9AB685B5701BF94A29|/
Windows Home Server with Power Pack 1 - Restore Disc (x86) - CD (Chinese Simplified),ed2k://|file|cn_windows_home_server_restore_disc_x86_cd_x14-67770.iso|480417792|9363F1E6F2FB0CDC55EA8C9D8ADD9023|/
Windows Home Server with Power Pack 1 - Restore Disc (x86) - CD (English),ed2k://|file|en_windows_home_server_restore_disc_x86_cd_x14-24266.iso|416608256|09E597C47E0503C42E3796ECF0334639|/
Server Install Disc: Windows Home Server 2011 (x64) - DVD (Chinese-Hong Kong SAR),ed2k://|file|hk_server_install_disc_windows_home_server_2011_x64_dvd_663242.iso|4375058432|05C5FCC9C2157DC57E6B977C0D77C089|/
Server Install Disc: Windows Home Server 2011 (x64) - DVD (English),ed2k://|file|en_server_install_disc_windows_home_server_2011_x64_dvd_658487.iso|4305752064|E6FE46CC66A19A92D8BD4DCBB77108EB|/
"Windows Server 2003, Web Edition with SP2 - VL (English)",ed2k://|file|en_win_srv_2003_web_with_sp2_vl_X13-42999.iso|550438912|8B600BF5B31175EB2A865A42FC30A518|/
Windows Server 2003 Service Pack 2 (x86) - CD (Chinese-Simplified),ed2k://|file|cn_windows_server_2003_sp2_x86_cd.iso|390135808|4C38E53EF100F80683810CAC1044CA70|/
"Windows Server 2003 R2, Standard x64 Edition with SP2 - Disc 2 (Traditional Chinese)",ed2k://|file|zh_win_srv_2003_r2_standard_x64_with_sp2_cd2_x13-28820.iso|179150848|139ADC453E650E31DAAF2498B0062E17|/
"Windows Server 2003 R2, Standard x64 Edition with SP2 - Disc 2 (English)",ed2k://|file|en_win_srv_2003_r2_standard_x64_with_sp2_cd2_X13-68587.iso|175163392|1AE3A8CC8D98CA89B1C019F7AEE66E1C|/
"Windows Server 2003 R2, Standard x64 Edition with SP2 - Disc 2 (Simplified Chinese)",ed2k://|file|cn_win_srv_2003_r2_standard_x64_with_sp2_cd2_X13-28819.iso|179202048|0D66FCFAFBAE092B8F92DDC337B4CC54|/
Windows Server 2008 with Service Pack 2 Global Language Pack (x86) - DVD (Chinese-Taiwan),ed2k://|file|tw_windows_server_2008_with_sp2_global_language_pack_x86_dvd_x15-51199.iso|73023488|A8A42ACE6E6A27E1A245CA642C1A3D65|/
Windows Web Server 2008 with Service Pack 2 (x86) - DVD (English),ed2k://|file|en_windows_web_server_2008_sp2_with_x86_dvd_342340.iso|1785407488|15D113FF08503F45B4E365988F1C40B8|/
Windows Web Server 2008 with Service Pack 2 (x86) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_web_server_2008_with_sp2_x86_dvd_x15-51050.iso|1860190208|EBEA302ED2A76C4B435697F321E65804|/
"Windows Server 2008 R2 Standard, Enterprise, Datacenter, and Web, VL Build (x64) - DVD (Korean)",ed2k://|file|ko_windows_server_2008_r2_standard_enterprise_datacenter_web_vl_build_x64_dvd_x15-59797.iso|3170244608|A329B85664FA6D0B409AC420F1902548|/
"Windows Server 2008 R2 Standard, Enterprise, Datacenter, and Web, VL Build (x64) - DVD (Italian)",ed2k://|file|it_windows_server_2008_r2_standard_enterprise_datacenter_web_vl_build_x64_dvd_x15-59785.iso|3092619264|E5A4921643CAD74D4C4ECD9A428D035F|/
"Windows Server 2008 R2 Standard, Enterprise, Datacenter, and Web, VL Build (x64) - DVD (German)",ed2k://|file|de_windows_server_2008_r2_standard_enterprise_datacenter_web_vl_build_x64_dvd_x15-59762.iso|3104751616|6C1C996001AEF66EAA8EFE6FE3734B2A|/
"Windows Server 2008 R2 Standard, Enterprise, Datacenter, and Web, VL Build (x64) - DVD (Chinese-Taiwan)",ed2k://|file|tw_windows_server_2008_r2_standard_enterprise_datacenter_web_vl_build_x64_dvd_x15-59809.iso|3227648000|A8B268AF0C47FEF383CC055DFCE898B9|/
"Windows Server 2008 R2 Standard, Enterprise, Datacenter, and Web with Service Pack 1, VL Build (x64) - DVD (Chinese-Hong Kong SAR)",ed2k://|file|hk_windows_server_2008_r2_standard_enterprise_datacenter_and_web_with_sp1_vl_build_x64_dvd_617386.iso|3323379712|5F2882F2F5738B58023FB04B78F2CF4B|/
"Windows Server 2008 R2 Standard, Enterprise, Datacenter, and Web, VL Build (x64) - DVD (Chinese-Simplified)",ed2k://|file|cn_windows_server_2008_r2_standard_enterprise_datacenter_web_vl_build_x64_dvd_x15-59777.iso|3270465536|1C7FDB37C0CEC1765A52CD49B2227CBE|/
"Windows Server 2008 R2 Standard, Enterprise, Datacenter, and Web, VL Build (x64) - DVD (English)",ed2k://|file|en_windows_server_2008_r2_standard_enterprise_datacenter_web_vl_build_x64_dvd_x15-59754.iso|2996799488|FCE88D8EE4D5B523B99FA0EDFB4E1775|/
Windows Server 2012 VL (x64) - DVD (English),ed2k://|file|en_windows_server_2012_vl_x64_dvd_917758.iso|3694114816|AE62DB062FD9D433750F54F4518AF4C5|/
Windows Server 2012 VL (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_server_2012_vl_x64_dvd_917962.iso|3827054592|2F40F8D0D60B86E9FFA551624D5A5257|/
Windows Storage Server 2012 R2 and Windows Server 2012 R2 Foundation (x64) - DVD (English),ed2k://|file|en_windows_storage_server_2012_r2_and_windows_server_2012_r2_foundation_x64_dvd_2708426.iso|4047679488|E706FC07C86E88ADFB928A7B17AEDC3B|/
Windows Server 2012 R2 VL (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_server_2012_r2_vl_x64_dvd_2979220.iso|4453249024|1F71685C7E33ED30FDC439C7FE0E4E5A|/
Windows Server 2012 R2 Essentials (x64) - DVD (English),ed2k://|file|en_windows_server_2012_r2_essentials_x64_dvd_2707177.iso|4048719872|7CC851ADAE00934FDDC099ADD90978CF|/
Windows Server 2012 R2 Essentials (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_server_2012_r2_essentials_x64_dvd_2707190.iso|4183773184|44A6A0C5ACEB4A9E1BB4D2C8466BC8FD|/
Disc 4: Windows Essential Business Server 2008 Premium - Messaging Server Installation (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_disc_4_windows_essential_business_server_2008_standard_and_premium_messaging_server_x64_dvd_x14-73671.iso|4141398016|2A12FC7DEEA92360515D92B9A99AAB49|/
Windows 8.1 Professional VL with Update (x86) - DVD (Chinese-Taiwan),ed2k://|file|tw_windows_8.1_professional_vl_with_update_x86_dvd_4048641.iso|3076507648|CB2D02AD42B91FBC58AD55ABFEC68157|/
Windows 8.1 with Update (multiple editions) (x86) - DVD (Chinese-Hong Kong SAR),ed2k://|file|hk_windows_8.1_with_update_x86_dvd_6051524.iso|3347771392|B2B9F23B1BE9F7018F98A175F9CC59DC|/
Windows 8.1 Preview (x86) - DVD (Chinese-Taiwan),ed2k://|file|tw_windows_8.1_preview_x86_dvd_2358776.iso|2910945280|5575F1626C6F9989D413EC5F55772914|/
Windows 8.1 Preview Symbols Debug/Checked (x86) - (English),ed2k://|file|en_windows_8.1_preview_symbols_debug_checked_x86_2358423.msi|598736896|35B9FC644CD6A2BA0D432B8AA2530108|/
Windows 8.1 Language Pack (x86) - DVD (Multiple Languages),ed2k://|file|mu_windows_8_1_language_pack_x86_dvd_2706085.iso|1483513856|5E3991A094BBC449F343F41B090F419E|/
"Windows Developer Preview English, 64-bit (x64)",ed2k://|file|WindowsDeveloperPreview-64bit-English.iso|3905548288|38FD7C4A3E0675ABD8836C213B984700|/
Windows 8 Release Preview with Apps (x86) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_8_release_preview_with_apps_x86_dvd_863893.iso|2662119424|111EE6C6F83CC93A0D7F13178A9D6F03|/
Windows 8 Language Pack (x86) - DVD (Multiple Languages),ed2k://|file|mu_windows_8_language_pack_x86_dvd_917546.iso|1569259520|AFA8E5FA843BCF7628CDC9E7798EF544|/
Windows 8 (x86) - DVD (Korean),ed2k://|file|ko_windows_8_x86_dvd_915465.iso|2565791744|9F53C01B21EA823AB257798927916E8E|/
Windows 7 Service Pack 1 Language Pack (x86) - DVD (Multilanguage),ed2k://|file|mu_windows_7_sp1_language_pack_x86_dvd_619716.iso|2256947200|C2E9A2E2A1A46237B18F6D55CA02458E|/
Windows 3.2.144 (Simplified Chinese),ed2k://|file|SC_Windows32_144.exe|12835440|782F5AF8A1405D518C181F057FCC4287|/
Windows 7 Ultimate (x86) - DVD (Ukrainian),ed2k://|file|uk_windows_7_ultimate_x86_dvd_x15-65968.iso|2404720640|9BB34C2F3DEBDFF02A405C4225D2AB58|/
Windows 3.11 (English),ed2k://|file|EN_WIN311.exe|5732376|B52E23B9929BEB81D24E365C4048A958|/
Windows 7 Ultimate (x86) - DVD (Turkish),ed2k://|file|tr_windows_7_ultimate_x86_dvd_x15-65965.iso|2382473216|DEC31C7787820EF98BD41E62BEFEA944|/
Windows 3.1 (Traditional Chinese),ed2k://|file|TC_Windows31.exe|15595656|0237938FBE2271E0306BF6D90AAAADDF|/
"Windows 10 (consumer editions), version 1909 (updated Jan 2020) (x86) - DVD (Chinese-Simplified)",ed2k://|file|cn_windows_10_consumer_editions_version_1909_updated_jan_2020_x86_dvd_9c50652f.iso|3884539904|0F2E887F2845BCD5C61E99E74D717287|/
"Windows 10 (consumer editions), version 1909 (updated Dec 2019) (x86) - DVD (Chinese-Simplified)",ed2k://|file|cn_windows_10_consumer_editions_version_1909_updated_dec_2019_x86_dvd_d931db3a.iso|3953639424|6F3F3B304D2FB7E8535F6D3E514EDF94|/
Windows 2000 Multilanguage Edition Disk 3,ed2k://|file|MUI_Win2000_D3.iso|414201856|5D0A34D90255820900504495C006212A|/
Windows 2000 Server with SP4 (English),ed2k://|file|EN_WIN2000_SRV_SP4.ISO|431202304|40E1B99208D4B69D577ED2BB1B90E2E4|/
Windows 2000 Professional with SP4 - SEL (Simplified Chinese),ed2k://|file|ZRMPSEL_CN.iso|402690048|00D1BDA0F057EDB8DA0B29CF5E188788|/
Windows 3.1 (Simplified Chinese),ed2k://|file|SC_Windows31.exe|8472384|84037137FFF3932707F286EC852F2ABC|/
Windows 7 Ultimate (x86) - DVD (Polish),ed2k://|file|pl_windows_7_ultimate_x86_dvd_x15-65945.iso|2395904000|6F875E677E5AE3B3242B5B28128D0C9A|/
